Numerical Variable Analysis Report
========================================================================================================================


### Analysis for 'SK_ID_PREV'  ###
| Statistic          |          Overall |
### Analysis for 'AMT_TOTAL_RECEIVABLE'  ###
| Statistic          |           Overall |
|--------------------|-------------------|
| Count              |       3.84031e+06 |
| Mean               |   58098.3         |
| Trimmed Mean (IQR) |   36642.3         |
| MAD                |   73882           |
| Std                |  105972           |
| Min                | -420250           |
| 25%                |       0           |
| 50%                |       0           |
| 75%                |   88914.5         |
| Max                |       1.49334e+06 |
| Mode               |       0           |
| Range              |       1.91359e+06 |
| IQR                |   88914.5         |
| Variance           |       1.123e+10   |
| Skewness           |       2.91268     |
| Kurtosis           |      11.7159      |


### Analysis for 'CNT_DRAWINGS_ATM_CURRENT'  ###
| Statistic          |     Overall |
|--------------------|-------------|
| Count              |  3.0905e+06 |
| Mean               |  0.309449   |
| Trimmed Mean (IQR) |  0          |
| MAD                |  0.533833   |
| Std                |  1.1004     |
| Min                |  0          |
| 25%                |  0          |
| 50%                |  0          |
| 75%                |  0          |
| Max                | 51          |
| Mode               |  0          |
| Range              | 51          |
| IQR                |  0          |
| Variance           |  1.21088    |
| Skewness           |  6.90666    |
| Kurtosis           | 81.5494     |


### Analysis for 'CNT_DRAWINGS_CURRENT'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              |   3.84031e+06 |
| Mean               |   0.703144    |
| Trimmed Mean (IQR) |   0           |
| MAD                |   1.18278     |
| Std                |   3.19035     |
| Min                |   0           |
| 25%                |   0           |
| 50%                |   0           |
| 75%                |   0           |
| Max                | 165           |
| Mode               |   0           |
| Range              | 165           |
| IQR                |   0           |
| Variance           |  10.1783      |
| Skewness           |  10.6353      |
| Kurtosis           | 177.928       |


### Analysis for 'CNT_DRAWINGS_OTHER_CURRENT'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              |    3.0905e+06 |
| Mean               |    0.0048125  |
| Trimmed Mean (IQR) |    0          |
| MAD                |    0.0095851  |
| Std                |    0.0826386  |
| Min                |    0          |
| 25%                |    0          |
| 50%                |    0          |
| 75%                |    0          |
| Max                |   12          |
| Mode               |    0          |
| Range              |   12          |
| IQR                |    0          |
| Variance           |    0.00682914 |
| Skewness           |   26.3238     |
| Kurtosis           | 1253.26       |


### Analysis for 'CNT_DRAWINGS_POS_CURRENT'  ###
| Statistic          |      Overall |
|--------------------|--------------|
| Count              |   3.0905e+06 |
| Mean               |   0.559479   |
| Trimmed Mean (IQR) |   0          |
| MAD                |   1.02305    |
| Std                |   3.24065    |
| Min                |   0          |
| 25%                |   0          |
| 50%                |   0          |
| 75%                |   0          |
| Max                | 165          |
| Mode               |   0          |
| Range              | 165          |
| IQR                |   0          |
| Variance           |  10.5018     |
| Skewness           |  11.3526     |
| Kurtosis           | 192.551      |


### Analysis for 'CNT_INSTALMENT_MATURE_CUM'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              |   3.53508e+06 |
| Mean               |  20.8251      |
| Trimmed Mean (IQR) |  19.7655      |
| MAD                |  16.2197      |
| Std                |  20.0515      |
| Min                |   0           |
| 25%                |   4           |
| 50%                |  15           |
| 75%                |  32           |
| Max                | 120           |
| Mode               |   0           |
| Range              | 120           |
| IQR                |  28           |
| Variance           | 402.062       |
| Skewness           |   1.07559     |
| Kurtosis           |   0.640329    |


### Analysis for 'SK_DPD'  ###
| Statistic          |        Overall |
|--------------------|----------------|
| Count              |    3.84031e+06 |
| Mean               |    9.28367     |
| Trimmed Mean (IQR) |    0           |
| MAD                |   18.2211      |
| Std                |   97.5157      |
| Min                |    0           |
| 25%                |    0           |
| 50%                |    0           |
| 75%                |    0           |
| Max                | 3260           |
| Mode               |    0           |
| Range              | 3260           |
| IQR                |    0           |
| Variance           | 9509.31        |
| Skewness           |   12.947       |
| Kurtosis           |  190.373       |


### Analysis for 'SK_DPD_DEF'  ###
| Statistic          |        Overall |
|--------------------|----------------|
| Count              |    3.84031e+06 |
| Mean               |    0.331622    |
| Trimmed Mean (IQR) |    0           |
| MAD                |    0.647814    |
| Std                |   21.4792      |
| Min                |    0           |
| 25%                |    0           |
| 50%                |    0           |
| 75%                |    0           |
| Max                | 3260           |
| Mode               |    0           |
| Range              | 3260           |
| IQR                |    0           |
| Variance           |  461.357       |
| Skewness           |   89.8304      |
| Kurtosis           | 9007.74        |

