Outlier Detection Report
================================================================================
|     | Column                       |        Q1 |        Q3 |       IQR |   Lower Bound |      Upper Bound |   Outliers Count | Outliers Percentage   |      Skewness |      Kurtosis |
|  11 | DAYS_ID_PUBLISH              |  -4299    |  -1720    |   2579    |      -8167.5  |   2148.5         |                0 | 0.00%                 |    0.349327   |     -1.10681  |
|  12 | OWN_CAR_AGE                  |      5    |     15    |     10    |        -10    |     30           |             4932 | 1.60%                 |    2.74542    |      9.21495  |
|  13 | FLAG_MOBIL                   |      1    |      1    |      0    |          1    |      1           |                1 | 0.00%                 | -554.537      | 307511        |
|  14 | FLAG_EMP_PHONE               |      1    |      1    |      0    |          1    |      1           |            55386 | 18.01%                |   -1.66489    |      0.771852 |
|  15 | FLAG_WORK_PHONE              |      0    |      0    |      0    |          0    |      0           |            61308 | 19.94%                |    1.50495    |      0.264876 |
|  16 | FLAG_CONT_MOBILE             |      1    |      1    |      0    |          1    |      1           |              574 | 0.19%                 |  -23.0812     |    530.744    |
|  17 | FLAG_PHONE                   |      0    |      1    |      1    |         -1.5  |      2.5         |                0 | 0.00%                 |    0.974083   |     -1.05117  |
|  18 | FLAG_EMAIL                   |      0    |      0    |      0    |          0    |      0           |            17442 | 5.67%                 |    3.83285    |     12.6908   |
|  19 | CNT_FAM_MEMBERS              |      2    |      3    |      1    |          0.5  |      4.5         |             4007 | 1.30%                 |    0.987543   |      2.80198  |
|  20 | REGION_RATING_CLIENT         |      2    |      2    |      0    |          2    |      2           |            80527 | 26.19%                |    0.0874683  |      0.800416 |
|  21 | REGION_RATING_CLIENT_W_CITY  |      2    |      2    |      0    |          2    |      2           |            78027 | 25.37%                |    0.0597298  |      0.933584 |
|  22 | HOUR_APPR_PROCESS_START      |     10    |     14    |      4    |          4    |     20           |             2257 | 0.73%                 |   -0.0280245  |     -0.194173 |
|  23 | REG_REGION_NOT_LIVE_REGION   |      0    |      0    |      0    |          0    |      0           |             4657 | 1.51%                 |    7.94028    |     61.0484   |
|  24 | REG_REGION_NOT_WORK_REGION   |      0    |      0    |      0    |          0    |      0           |            15612 | 5.08%                 |    4.09277    |     14.7508   |
|  25 | LIVE_REGION_NOT_WORK_REGION  |      0    |      0    |      0    |          0    |      0           |            12503 | 4.07%                 |    4.65162    |     19.6377   |
|  26 | REG_CITY_NOT_LIVE_CITY       |      0    |      0    |      0    |          0    |      0           |            24039 | 7.82%                 |    3.14278    |      7.87712  |
|  27 | REG_CITY_NOT_WORK_CITY       |      0    |      0    |      0    |          0    |      0           |            70867 | 23.05%                |    1.28014    |     -0.36125  |
|  28 | LIVE_CITY_NOT_WORK_CITY      |      0    |      0    |      0    |          0    |      0           |            55215 | 17.96%                |    1.66979    |      0.78822  |
|  29 | EXT_SOURCE_1                 |      0.33 |      0.68 |      0.34 |         -0.18 |      1.19        |                0 | 0.00%                 |   -0.0687551  |     -0.965155 |
|  30 | EXT_SOURCE_2                 |      0.39 |      0.66 |      0.27 |         -0.01 |      1.07        |                0 | 0.00%                 |   -0.793576   |     -0.269131 |
|  31 | EXT_SOURCE_3                 |      0.37 |      0.67 |      0.3  |         -0.08 |      1.12        |                0 | 0.00%                 |   -0.40939    |     -0.663463 |
|  32 | APARTMENTS_AVG               |      0.06 |      0.15 |      0.09 |         -0.08 |      0.28        |            10655 | 3.46%                 |    2.64184    |     11.3938   |
|  33 | BASEMENTAREA_AVG             |      0.04 |      0.11 |      0.07 |         -0.06 |      0.21        |             7190 | 2.34%                 |    3.56631    |     25.9301   |
|  34 | YEARS_BEGINEXPLUATATION_AVG  |      0.98 |      0.99 |      0.01 |          0.96 |      1           |             4784 | 1.56%                 |  -15.5153     |    248.176    |
|  35 | YEARS_BUILD_AVG              |      0.69 |      0.82 |      0.14 |          0.48 |      1.03        |             2154 | 0.70%                 |   -0.962485   |      4.39976  |
|  36 | COMMONAREA_AVG               |      0.01 |      0.05 |      0.04 |         -0.06 |      0.12        |             7942 | 2.58%                 |    5.45731    |     45.988    |
|  37 | ELEVATORS_AVG                |      0    |      0.12 |      0.12 |         -0.18 |      0.3         |            10420 | 3.39%                 |    2.43943    |      7.86939  |
|  38 | ENTRANCES_AVG                |      0.07 |      0.21 |      0.14 |         -0.14 |      0.41        |             3882 | 1.26%                 |    2.39972    |     11.5932   |
|  39 | FLOORSMAX_AVG                |      0.17 |      0.33 |      0.17 |         -0.08 |      0.58        |             5215 | 1.70%                 |    1.22645    |      2.43255  |
|  40 | FLOORSMIN_AVG                |      0.08 |      0.38 |      0.29 |         -0.35 |      0.81        |              343 | 0.11%                 |    0.954197   |      1.33826  |
|  41 | LANDAREA_AVG                 |      0.02 |      0.09 |      0.07 |         -0.08 |      0.19        |             6888 | 2.24%                 |    4.45868    |     34.7448   |
|  42 | LIVINGAPARTMENTS_AVG         |      0.05 |      0.12 |      0.07 |         -0.06 |      0.23        |             7881 | 2.56%                 |    3.0422     |     16.4906   |
|  43 | LIVINGAREA_AVG               |      0.05 |      0.13 |      0.08 |         -0.08 |      0.26        |            12517 | 4.07%                 |    2.85474    |     12.3312   |
|  44 | NONLIVINGAPARTMENTS_AVG      |      0    |      0    |      0    |         -0.01 |      0.01        |            15580 | 5.07%                 |   15.5412     |    284.73     |
|  45 | NONLIVINGAREA_AVG            |      0    |      0.03 |      0.03 |         -0.04 |      0.07        |            16546 | 5.38%                 |    6.55901    |     64.9124   |
|  46 | APARTMENTS_MODE              |      0.05 |      0.14 |      0.09 |         -0.08 |      0.28        |            10397 | 3.38%                 |    2.70305    |     11.7461   |
|  47 | BASEMENTAREA_MODE            |      0.04 |      0.11 |      0.07 |         -0.07 |      0.22        |             6910 | 2.25%                 |    3.48153    |     24.4312   |
|  48 | YEARS_BEGINEXPLUATATION_MODE |      0.98 |      0.99 |      0.01 |          0.96 |      1           |             5074 | 1.65%                 |  -14.7553     |    219.963    |
|  49 | YEARS_BUILD_MODE             |      0.7  |      0.82 |      0.12 |          0.51 |      1.01        |             2537 | 0.83%                 |   -1.0023     |      4.76447  |
|  50 | COMMONAREA_MODE              |      0.01 |      0.05 |      0.04 |         -0.06 |      0.11        |             7938 | 2.58%                 |    5.62059    |     48.861    |
|  51 | ELEVATORS_MODE               |      0    |      0.12 |      0.12 |         -0.18 |      0.3         |             9732 | 3.16%                 |    2.55228    |      8.59794  |
|  52 | ENTRANCES_MODE               |      0.07 |      0.21 |      0.14 |         -0.14 |      0.41        |             3840 | 1.25%                 |    2.39234    |     11.4225   |
|  53 | FLOORSMAX_MODE               |      0.17 |      0.33 |      0.17 |         -0.08 |      0.58        |             5104 | 1.66%                 |    1.24434    |      2.53569  |
|  54 | FLOORSMIN_MODE               |      0.08 |      0.38 |      0.29 |         -0.35 |      0.81        |              320 | 0.10%                 |    0.963835   |      1.35373  |
|  55 | LANDAREA_MODE                |      0.02 |      0.08 |      0.07 |         -0.08 |      0.19        |             7033 | 2.29%                 |    4.37703    |     33.2733   |
|  56 | LIVINGAPARTMENTS_MODE        |      0.05 |      0.13 |      0.08 |         -0.06 |      0.25        |             7469 | 2.43%                 |    2.90267    |     14.225    |
|  57 | LIVINGAREA_MODE              |      0.04 |      0.13 |      0.08 |         -0.08 |      0.25        |            13105 | 4.26%                 |    2.90249    |     12.4591   |
|  58 | NONLIVINGAPARTMENTS_MODE     |      0    |      0    |      0    |         -0.01 |      0.01        |            14224 | 4.63%                 |   16.2518     |    309.727    |
|  59 | NONLIVINGAREA_MODE           |      0    |      0.02 |      0.02 |         -0.03 |      0.06        |            18817 | 6.12%                 |    6.52245    |     63.3571   |
|  60 | APARTMENTS_MEDI              |      0.06 |      0.15 |      0.09 |         -0.08 |      0.28        |            10728 | 3.49%                 |    2.63926    |     11.2422   |
|  61 | BASEMENTAREA_MEDI            |      0.04 |      0.11 |      0.07 |         -0.06 |      0.21        |             7188 | 2.34%                 |    3.55304    |     25.8298   |
|  62 | YEARS_BEGINEXPLUATATION_MEDI |      0.98 |      0.99 |      0.01 |          0.96 |      1           |             4762 | 1.55%                 |  -15.5731     |    248.397    |
|  63 | YEARS_BUILD_MEDI             |      0.69 |      0.83 |      0.13 |          0.49 |      1.03        |             2274 | 0.74%                 |   -0.962784   |      4.46881  |
|  64 | COMMONAREA_MEDI              |      0.01 |      0.05 |      0.04 |         -0.06 |      0.12        |             8004 | 2.60%                 |    5.41924    |     45.2636   |
|  65 | ELEVATORS_MEDI               |      0    |      0.12 |      0.12 |         -0.18 |      0.3         |            10383 | 3.38%                 |    2.45782    |      7.96398  |
|  66 | ENTRANCES_MEDI               |      0.07 |      0.21 |      0.14 |         -0.14 |      0.41        |             3893 | 1.27%                 |    2.38771    |     11.4741   |
|  67 | FLOORSMAX_MEDI               |      0.17 |      0.33 |      0.17 |         -0.08 |      0.58        |             5360 | 1.74%                 |    1.24019    |      2.46855  |
|  68 | FLOORSMIN_MEDI               |      0.08 |      0.38 |      0.29 |         -0.35 |      0.81        |              344 | 0.11%                 |    0.960226   |      1.34657  |
|  69 | LANDAREA_MEDI                |      0.02 |      0.09 |      0.07 |         -0.08 |      0.19        |             6873 | 2.24%                 |    4.36829    |     33.238    |
|  70 | LIVINGAPARTMENTS_MEDI        |      0.05 |      0.12 |      0.07 |         -0.06 |      0.23        |             7927 | 2.58%                 |    2.98829    |     15.6971   |
|  71 | LIVINGAREA_MEDI              |      0.05 |      0.13 |      0.08 |         -0.08 |      0.26        |            12907 | 4.20%                 |    2.84894    |     12.1386   |
|  72 | NONLIVINGAPARTMENTS_MEDI     |      0    |      0    |      0    |         -0.01 |      0.01        |            15215 | 4.95%                 |   15.672      |    289.492    |
|  73 | NONLIVINGAREA_MEDI           |      0    |      0.03 |      0.03 |         -0.04 |      0.07        |            17254 | 5.61%                 |    6.50883    |     63.654    |
|  74 | TOTALAREA_MODE               |      0.04 |      0.13 |      0.09 |         -0.09 |      0.26        |            12091 | 3.93%                 |    2.79757    |     12.1675   |
|  75 | OBS_30_CNT_SOCIAL_CIRCLE     |      0    |      2    |      2    |         -3    |      5           |            19971 | 6.49%                 |   12.1396     |   1424.82     |
|  76 | DEF_30_CNT_SOCIAL_CIRCLE     |      0    |      0    |      0    |          0    |      0           |            35166 | 11.44%                |    5.18352    |    126.312    |
|  77 | OBS_60_CNT_SOCIAL_CIRCLE     |      0    |      2    |      2    |         -3    |      5           |            19564 | 6.36%                 |   12.0708     |   1409.7      |
|  78 | DEF_60_CNT_SOCIAL_CIRCLE     |      0    |      0    |      0    |          0    |      0           |            25769 | 8.38%                 |    5.27788    |     86.5629   |
|  79 | DAYS_LAST_PHONE_CHANGE       |  -1570    |   -274    |   1296    |      -3514    |   1670           |              435 | 0.14%                 |   -0.713606   |     -0.30858  |
|  80 | FLAG_DOCUMENT_2              |      0    |      0    |      0    |          0    |      0           |               13 | 0.00%                 |  153.792      |  23650.1      |
|  81 | FLAG_DOCUMENT_3              |      0    |      1    |      1    |         -1.5  |      2.5         |                0 | 0.00%                 |   -0.925725   |     -1.14304  |
|  82 | FLAG_DOCUMENT_4              |      0    |      0    |      0    |          0    |      0           |               25 | 0.01%                 |  110.894      |  12295.6      |
|  83 | FLAG_DOCUMENT_5              |      0    |      0    |      0    |          0    |      0           |             4648 | 1.51%                 |    7.94832    |     61.1762   |
|  84 | FLAG_DOCUMENT_6              |      0    |      0    |      0    |          0    |      0           |            27078 | 8.81%                 |    2.90743    |      6.45317  |
|  85 | FLAG_DOCUMENT_7              |      0    |      0    |      0    |          0    |      0           |               59 | 0.02%                 |   72.1741     |   5207.14     |
|  86 | FLAG_DOCUMENT_8              |      0    |      0    |      0    |          0    |      0           |            25024 | 8.14%                 |    3.06224    |      7.37737  |
|  87 | FLAG_DOCUMENT_9              |      0    |      0    |      0    |          0    |      0           |             1198 | 0.39%                 |   15.9278     |    251.695    |
|  88 | FLAG_DOCUMENT_10             |      0    |      0    |      0    |          0    |      0           |                7 | 0.00%                 |  209.589      |  43925.9      |
|  89 | FLAG_DOCUMENT_11             |      0    |      0    |      0    |          0    |      0           |             1203 | 0.39%                 |   15.8942     |    250.628    |
|  90 | FLAG_DOCUMENT_12             |      0    |      0    |      0    |          0    |      0           |                2 | 0.00%                 |  392.115      | 153753        |
|  91 | FLAG_DOCUMENT_13             |      0    |      0    |      0    |          0    |      0           |             1084 | 0.35%                 |   16.7537     |    278.69     |
|  92 | FLAG_DOCUMENT_14             |      0    |      0    |      0    |          0    |      0           |              903 | 0.29%                 |   18.3725     |    335.552    |
|  93 | FLAG_DOCUMENT_15             |      0    |      0    |      0    |          0    |      0           |              372 | 0.12%                 |   28.6993     |    821.657    |
|  94 | FLAG_DOCUMENT_16             |      0    |      0    |      0    |          0    |      0           |             3053 | 0.99%                 |    9.88611    |     95.7358   |
|  95 | FLAG_DOCUMENT_17             |      0    |      0    |      0    |          0    |      0           |               82 | 0.03%                 |   61.2141     |   3745.2      |
|  96 | FLAG_DOCUMENT_18             |      0    |      0    |      0    |          0    |      0           |             2500 | 0.81%                 |   10.9551     |    118.015    |
|  97 | FLAG_DOCUMENT_19             |      0    |      0    |      0    |          0    |      0           |              183 | 0.06%                 |   40.9561     |   1675.42     |
|  98 | FLAG_DOCUMENT_20             |      0    |      0    |      0    |          0    |      0           |              156 | 0.05%                 |   44.3649     |   1966.26     |
|  99 | FLAG_DOCUMENT_21             |      0    |      0    |      0    |          0    |      0           |              103 | 0.03%                 |   54.6129     |   2980.59     |
| 100 | AMT_REQ_CREDIT_BUREAU_HOUR   |      0    |      0    |      0    |          0    |      0           |             1626 | 0.53%                 |   14.5341     |    254.244    |
| 101 | AMT_REQ_CREDIT_BUREAU_DAY    |      0    |      0    |      0    |          0    |      0           |             1489 | 0.48%                 |   27.0435     |   1151.87     |
| 102 | AMT_REQ_CREDIT_BUREAU_WEEK   |      0    |      0    |      0    |          0    |      0           |             8536 | 2.78%                 |    9.29357    |    166.752    |
| 103 | AMT_REQ_CREDIT_BUREAU_MON    |      0    |      0    |      0    |          0    |      0           |            43759 | 14.23%                |    7.80485    |     90.4349   |
| 104 | AMT_REQ_CREDIT_BUREAU_QRT    |      0    |      0    |      0    |          0    |      0           |            50575 | 16.45%                |  134.366      |  43707.5      |
| 105 | AMT_REQ_CREDIT_BUREAU_YEAR   |      0    |      3    |      3    |         -4.5  |      7.5         |             3364 | 1.09%                 |    1.24359    |      1.96903  |

