Variable,Outcome,Count,Percent
NAME_PAYMENT_TYPE,Cash through the bank,1033552,61.88
NAME_PAYMENT_TYPE,XNA,627384,37.56
NAME_PAYMENT_TYPE,Non-cash from your account,8193,0.49
NAME_PAYMENT_TYPE,Cashless from the account of the employer,1085,0.06
CODE_REJECT_REASON,XAP,1353093,81.01
CODE_REJECT_REASON,HC,175231,10.49
CODE_REJECT_REASON,LIMIT,55680,3.33
CODE_REJECT_REASON,SCO,37467,2.24
CODE_REJECT_REASON,CLIENT,26436,1.58
CODE_REJECT_REASON,SCOFR,12811,0.77
CODE_REJECT_REASON,XNA,5244,0.31
CODE_REJECT_REASON,VERIF,3535,0.21
CODE_REJECT_REASON,SYSTEM,717,0.04
NAME_TYPE_SUITE,Unaccompanied,508970,59.89
NAME_TYPE_SUITE,Family,213263,25.1
NAME_TYPE_SUITE,"Spouse, partner",67069,7.89
NAME_TYPE_SUITE,Children,31566,3.71
NAME_TYPE_SUITE,Other_B,17624,2.07
NAME_TYPE_SUITE,Other_A,9077,1.07
NAME_TYPE_SUITE,Group of people,2240,0.26
NAME_CLIENT_TYPE,Repeater,1231261,73.72
NAME_CLIENT_TYPE,New,301363,18.04
NAME_CLIENT_TYPE,Refreshed,135649,8.12
NAME_CLIENT_TYPE,XNA,1941,0.12
NAME_GOODS_CATEGORY,XNA,950809,56.93
NAME_GOODS_CATEGORY,Mobile,224708,13.45
NAME_GOODS_CATEGORY,Consumer Electronics,121576,7.28
NAME_GOODS_CATEGORY,Computers,105769,6.33
NAME_GOODS_CATEGORY,Audio/Video,99441,5.95
NAME_GOODS_CATEGORY,Furniture,53656,3.21
NAME_GOODS_CATEGORY,Photo / Cinema Equipment,25021,1.5
NAME_GOODS_CATEGORY,Construction Materials,24995,1.5
NAME_GOODS_CATEGORY,Clothing and Accessories,23554,1.41
NAME_GOODS_CATEGORY,Auto Accessories,7381,0.44
NAME_GOODS_CATEGORY,Jewelry,6290,0.38
NAME_GOODS_CATEGORY,Homewares,5023,0.3
NAME_GOODS_CATEGORY,Medical Supplies,3843,0.23
NAME_GOODS_CATEGORY,Vehicles,3370,0.2
NAME_GOODS_CATEGORY,Sport and Leisure,2981,0.18
NAME_GOODS_CATEGORY,Gardening,2668,0.16
NAME_GOODS_CATEGORY,Other,2554,0.15
NAME_GOODS_CATEGORY,Office Appliances,2333,0.14
NAME_GOODS_CATEGORY,Tourism,1659,0.1
NAME_GOODS_CATEGORY,Medicine,1550,0.09
NAME_GOODS_CATEGORY,Direct Sales,446,0.03
NAME_GOODS_CATEGORY,Fitness,209,0.01
NAME_GOODS_CATEGORY,Additional Service,128,0.01
NAME_GOODS_CATEGORY,Education,107,0.01
NAME_GOODS_CATEGORY,Weapon,77,0.0
NAME_GOODS_CATEGORY,Insurance,64,0.0
NAME_GOODS_CATEGORY,Animals,1,0.0
NAME_GOODS_CATEGORY,House Construction,1,0.0
NAME_PORTFOLIO,POS,691011,41.37
NAME_PORTFOLIO,Cash,461563,27.63
NAME_PORTFOLIO,XNA,372230,22.29
NAME_PORTFOLIO,Cards,144985,8.68
NAME_PORTFOLIO,Cars,425,0.03
NAME_PRODUCT_TYPE,XNA,1063666,63.68
NAME_PRODUCT_TYPE,x-sell,456287,27.32
NAME_PRODUCT_TYPE,walk-in,150261,9.0
CHANNEL_TYPE,Credit and cash offices,719968,43.11
CHANNEL_TYPE,Country-wide,494690,29.62
CHANNEL_TYPE,Stone,212083,12.7
CHANNEL_TYPE,Regional / Local,108528,6.5
CHANNEL_TYPE,Contact center,71297,4.27
CHANNEL_TYPE,AP+ (Cash loan),57046,3.42
CHANNEL_TYPE,Channel of corporate sales,6150,0.37
CHANNEL_TYPE,Car dealer,452,0.03
NAME_SELLER_INDUSTRY,XNA,855720,51.23
NAME_SELLER_INDUSTRY,Consumer electronics,398265,23.85
NAME_SELLER_INDUSTRY,Connectivity,276029,16.53
NAME_SELLER_INDUSTRY,Furniture,57849,3.46
NAME_SELLER_INDUSTRY,Construction,29781,1.78
NAME_SELLER_INDUSTRY,Clothing,23949,1.43
NAME_SELLER_INDUSTRY,Industry,19194,1.15
NAME_SELLER_INDUSTRY,Auto technology,4990,0.3
NAME_SELLER_INDUSTRY,Jewelry,2709,0.16
NAME_SELLER_INDUSTRY,MLM partners,1215,0.07
NAME_SELLER_INDUSTRY,Tourism,513,0.03
NAME_YIELD_GROUP,XNA,517215,30.97
NAME_YIELD_GROUP,middle,385532,23.08
NAME_YIELD_GROUP,high,353331,21.15
NAME_YIELD_GROUP,low_normal,322095,19.28
NAME_YIELD_GROUP,low_action,92041,5.51
PRODUCT_COMBINATION,Cash,285990,17.13
PRODUCT_COMBINATION,POS household with interest,263622,15.79
PRODUCT_COMBINATION,POS mobile with interest,220670,13.21
PRODUCT_COMBINATION,Cash X-Sell: middle,143883,8.62
PRODUCT_COMBINATION,Cash X-Sell: low,130248,7.8
PRODUCT_COMBINATION,Card Street,112582,6.74
PRODUCT_COMBINATION,POS industry with interest,98833,5.92
PRODUCT_COMBINATION,POS household without interest,82908,4.96
PRODUCT_COMBINATION,Card X-Sell,80582,4.83
PRODUCT_COMBINATION,Cash Street: high,59639,3.57
PRODUCT_COMBINATION,Cash X-Sell: high,59301,3.55
PRODUCT_COMBINATION,Cash Street: middle,34658,2.08
PRODUCT_COMBINATION,Cash Street: low,33834,2.03
PRODUCT_COMBINATION,POS mobile without interest,24082,1.44
PRODUCT_COMBINATION,POS other with interest,23879,1.43
PRODUCT_COMBINATION,POS industry without interest,12602,0.75
PRODUCT_COMBINATION,POS others without interest,2555,0.15
