Numerical Variable Analysis Report
========================================================================================================================


### Analysis for 'SK_ID_CURR'  ###
| Statistic          |          Overall |
| 25%                |      0           |
| 50%                |      0           |
| 75%                |      0           |
| Max                |      3.75668e+06 |
| Mode               |      0           |
| Range              |      3.75668e+06 |
| IQR                |      0           |
| Variance           |      3.52557e+07 |
| Skewness           |    403.242       |
| Kurtosis           | 211837           |


### Analysis for 'DAYS_CREDIT_UPDATE'  ###
| Statistic          |          Overall |
|--------------------|------------------|
| Count              |      1.71643e+06 |
| Mean               |   -593.748       |
| Trimmed Mean (IQR) |   -520.289       |
| MAD                |    521.38        |
| Std                |    720.747       |
| Min                | -41947           |
| 25%                |   -908           |
| 50%                |   -395           |
| 75%                |    -33           |
| Max                |    372           |
| Mode               |     -7           |
| Range              |  42319           |
| IQR                |    875           |
| Variance           | 519477           |
| Skewness           |    -11.335       |
| Kurtosis           |    596.374       |


### Analysis for 'AMT_ANNUITY'  ###
| Statistic          |          Overall |
|--------------------|------------------|
| Count              | 489637           |
| Mean               |  15712.8         |
| Trimmed Mean (IQR) |   5570.58        |
| MAD                |  20394.6         |
| Std                | 325827           |
| Min                |      0           |
| 25%                |      0           |
| 50%                |      0           |
| 75%                |  13500           |
| Max                |      1.18453e+08 |
| Mode               |      0           |
| Range              |      1.18453e+08 |
| IQR                |  13500           |
| Variance           |      1.06163e+11 |
| Skewness           |    212.543       |
| Kurtosis           |  58560.7         |

