Variable,Outcome,Count,Percent
ORGANIZATION_TYPE,Trade: type 7,7831,2.55
ORGANIZATION_TYPE,Kindergarten,6880,2.24
ORGANIZATION_TYPE,Construction,6721,2.19
ORGANIZATION_TYPE,Business Entity Type 1,5984,1.95
ORGANIZATION_TYPE,Transport: type 4,5398,1.76
ORGANIZATION_TYPE,Trade: type 3,3492,1.14
ORGANIZATION_TYPE,Industry: type 9,3368,1.1
ORGANIZATION_TYPE,Industry: type 3,3278,1.07
ORGANIZATION_TYPE,Security,3247,1.06
ORGANIZATION_TYPE,Housing,2958,0.96
ORGANIZATION_TYPE,Industry: type 11,2704,0.88
ORGANIZATION_TYPE,Military,2634,0.86
ORGANIZATION_TYPE,Bank,2507,0.82
ORGANIZATION_TYPE,Agriculture,2454,0.8
ORGANIZATION_TYPE,Police,2341,0.76
ORGANIZATION_TYPE,Transport: type 2,2204,0.72
ORGANIZATION_TYPE,Postal,2157,0.7
ORGANIZATION_TYPE,Security Ministries,1974,0.64
ORGANIZATION_TYPE,Trade: type 2,1900,0.62
ORGANIZATION_TYPE,Restaurant,1811,0.59
ORGANIZATION_TYPE,Services,1575,0.51
ORGANIZATION_TYPE,University,1327,0.43
ORGANIZATION_TYPE,Industry: type 7,1307,0.43
ORGANIZATION_TYPE,Transport: type 3,1187,0.39
ORGANIZATION_TYPE,Industry: type 1,1039,0.34
ORGANIZATION_TYPE,Hotel,966,0.31
ORGANIZATION_TYPE,Electricity,950,0.31
ORGANIZATION_TYPE,Industry: type 4,877,0.29
ORGANIZATION_TYPE,Trade: type 6,631,0.21
ORGANIZATION_TYPE,Industry: type 5,599,0.19
ORGANIZATION_TYPE,Insurance,597,0.19
ORGANIZATION_TYPE,Telecom,577,0.19
ORGANIZATION_TYPE,Emergency,560,0.18
ORGANIZATION_TYPE,Industry: type 2,458,0.15
ORGANIZATION_TYPE,Advertising,429,0.14
ORGANIZATION_TYPE,Realtor,396,0.13
ORGANIZATION_TYPE,Culture,379,0.12
ORGANIZATION_TYPE,Industry: type 12,369,0.12
ORGANIZATION_TYPE,Trade: type 1,348,0.11
ORGANIZATION_TYPE,Mobile,317,0.1
ORGANIZATION_TYPE,Legal Services,305,0.1
ORGANIZATION_TYPE,Cleaning,260,0.08
ORGANIZATION_TYPE,Transport: type 1,201,0.07
ORGANIZATION_TYPE,Industry: type 6,112,0.04
ORGANIZATION_TYPE,Industry: type 10,109,0.04
ORGANIZATION_TYPE,Religion,85,0.03
ORGANIZATION_TYPE,Industry: type 13,67,0.02
ORGANIZATION_TYPE,Trade: type 4,64,0.02
ORGANIZATION_TYPE,Trade: type 5,49,0.02
ORGANIZATION_TYPE,Industry: type 8,24,0.01
FONDKAPREMONT_MODE,reg oper account,73830,75.94
FONDKAPREMONT_MODE,reg oper spec account,12080,12.43
FONDKAPREMONT_MODE,not specified,5687,5.85
FONDKAPREMONT_MODE,org spec account,5619,5.78
HOUSETYPE_MODE,block of flats,150503,98.23
HOUSETYPE_MODE,specific housing,1499,0.98
HOUSETYPE_MODE,terraced house,1212,0.79
WALLSMATERIAL_MODE,Panel,66040,43.69
WALLSMATERIAL_MODE,"Stone, brick",64815,42.88
WALLSMATERIAL_MODE,Block,9253,6.12
WALLSMATERIAL_MODE,Wooden,5362,3.55
WALLSMATERIAL_MODE,Mixed,2296,1.52
WALLSMATERIAL_MODE,Monolithic,1779,1.18
WALLSMATERIAL_MODE,Others,1625,1.07
EMERGENCYSTATE_MODE,No,159428,98.56
EMERGENCYSTATE_MODE,Yes,2328,1.44
